,driver,race,constructor,year
1038,PIA,1,MCL,2025
1039,ANT,1,MER,2025
1040,RUS,1,MER,2025
1041,LEC,1,FER,2025
1042,HAM,1,FER,2025
1043,ALO,1,AMR,2025
1044,STR,1,AMR,2025
1045,DOO,1,ALP,2025
1047,GAS,1,ALP,2025
1048,HAD,1,RB,2025
1049,TSU,1,RB,2025
1050,LAW,1,RBR,2025
1051,ALB,1,WIL,2025
1052,SAI,1,WIL,2025
1053,BEA,1,HAS,2025
1054,OCO,1,HAS,2025
1055,BOR,1,STK,2025
1056,HUL,1,STK,2025
1057,VER,2,RBR,2025
1058,NOR,2,MCL,2025
1059,PIA,2,MCL,2025
1060,ANT,2,MER,2025
1061,RUS,2,MER,2025
1062,LEC,2,FER,2025
1063,HAM,2,FER,2025
1064,ALO,2,AMR,2025
1065,STR,2,AMR,2025
1066,DOO,2,ALP,2025
1068,GAS,2,ALP,2025
1069,HAD,2,RB,2025
1070,TSU,2,RB,2025
